nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
         1, 0.000000000E+00, 0.000000000E+00, 1.970225232E+00, 0.000000000E+00, 0.000000000E+00
         2, 9.995528819E-03, 0.000000000E+00, 1.969621834E+00, 0.000000000E+00, 0.000000000E+00
         3, 1.999105764E-02, 0.000000000E+00, 1.968441130E+00, 0.000000000E+00, 0.000000000E+00
         4, 2.998658646E-02, 0.000000000E+00, 1.967241546E+00, 0.000000000E+00, 0.000000000E+00
         5, 3.998211528E-02, 0.000000000E+00, 1.965994432E+00, 0.000000000E+00, 0.000000000E+00
         6, 4.997764409E-02, 0.000000000E+00, 1.964736591E+00, 0.000000000E+00, 0.000000000E+00
         7, 5.997317291E-02, 0.000000000E+00, 1.963471651E+00, 0.000000000E+00, 0.000000000E+00
         8, 6.996870173E-02, 0.000000000E+00, 1.962209099E+00, 0.000000000E+00, 0.000000000E+00
         9, 7.996423055E-02, 0.000000000E+00, 1.960950803E+00, 0.000000000E+00, 0.000000000E+00
        10, 8.995975937E-02, 0.000000000E+00, 1.959698899E+00, 0.000000000E+00, 0.000000000E+00
        11, 9.995528819E-02, 0.000000000E+00, 1.958454478E+00, 0.000000000E+00, 0.000000000E+00
        12, 1.099508170E-01, 0.000000000E+00, 1.957218494E+00, 0.000000000E+00, 0.000000000E+00
        13, 1.199463458E-01, 0.000000000E+00, 1.955991676E+00, 0.000000000E+00, 0.000000000E+00
        14, 1.299418746E-01, 0.000000000E+00, 1.954774676E+00, 0.000000000E+00, 0.000000000E+00
        15, 1.399374035E-01, 0.000000000E+00, 1.953568082E+00, 0.000000000E+00, 0.000000000E+00
        16, 1.499329323E-01, 0.000000000E+00, 1.952372449E+00, 0.000000000E+00, 0.000000000E+00
        17, 1.599284611E-01, 0.000000000E+00, 1.951188317E+00, 0.000000000E+00, 0.000000000E+00
        18, 1.699239899E-01, 0.000000000E+00, 1.950016214E+00, 0.000000000E+00, 0.000000000E+00
        19, 1.799195187E-01, 0.000000000E+00, 1.948856670E+00, 0.000000000E+00, 0.000000000E+00
        20, 1.899150476E-01, 0.000000000E+00, 1.947710220E+00, 0.000000000E+00, 0.000000000E+00
        21, 1.999105764E-01, 0.000000000E+00, 1.946577409E+00, 0.000000000E+00, 0.000000000E+00
        22, 2.099061052E-01, 0.000000000E+00, 1.945458796E+00, 0.000000000E+00, 0.000000000E+00
        23, 2.199016340E-01, 0.000000000E+00, 1.944354958E+00, 0.000000000E+00, 0.000000000E+00
        24, 2.298971628E-01, 0.000000000E+00, 1.943266489E+00, 0.000000000E+00, 0.000000000E+00
        25, 2.398926917E-01, 0.000000000E+00, 1.942194009E+00, 0.000000000E+00, 0.000000000E+00
        26, 2.498882205E-01, 0.000000000E+00, 1.941138160E+00, 0.000000000E+00, 0.000000000E+00
        27, 2.598837493E-01, 0.000000000E+00, 1.940099610E+00, 0.000000000E+00, 0.000000000E+00
        28, 2.698792781E-01, 0.000000000E+00, 1.939079057E+00, 0.000000000E+00, 0.000000000E+00
        29, 2.798748069E-01, 0.000000000E+00, 1.938077229E+00, 0.000000000E+00, 0.000000000E+00
        30, 2.898703358E-01, 0.000000000E+00, 1.937094884E+00, 0.000000000E+00, 0.000000000E+00
